Scientific name,Family,Svenskt namn,Dyntaxa ID number,Establishment,Red-listed,Time of immigration,Index of invasive concern,Biodiversity relevance,Nectar production,Heat requirement,Cold requirement,Temp. optimum,Continentality,Light,Moisture,Soil reaction (pH),Nitrogen (N),Phosphorus (P),Salinity,Grazing/mowing,Soil disturbance,Longevity,Pollinator dependence,Phenology,Extreme phenology,Seed dormancy,Seed bank,Seed disperser,Nitrogen fixation,Photosynthetic pathway,Mycorrhiza,Carnivory,Parasitism,Unnamed: 34,1 Siliceous rock,2 Ultrabasic rock,3 Calcareous rock,4 Dry heath,5. Dry meadow,6 Steppic meadow,7 Sand steppe,8 Moist heath,9 Moist meadow,10 Moist calcareous meadow,11 Raised bog,12 Poor/acidic fen,13 Intermediate-rich fen,14 Rich/calcareous fen,15 Tall herb/sedge/reed meadow,16 Oligotrophic water & shores,17 Mesotrophic water & shores,18 Eutrophic water & shores,19 sandy/stony/rocky sea shores,20 Sea shore meadows,21 Base-poor wasteland,22 Base-rich wasteland,23. Arable land,24 Gravelly ground,25 Ruderal,"26 Hedgerows, thickets, wood-margins and groves",27 Heath-type deciduous forest,28 Intermediate deciduous forest,29 Herb-rich deciduous forest,30 Alnus glutinosa swamp,31 Fraxinus/Ulmus/Alnus incana swamp,32 Pinus/Betula swamp,33 Picea swamp,34 Heath-type coniferous forest,35 Vaccinium-type coniferous forest,36 Herb-rich coniferous forest,37 Cacareous conifer forest,38 Subalpine Betula forest,taxonKey
Cotoneaster dielsianus E. Pritz.,Rosaceae,rosenoxbär,222990.0,Resident,Not Red-listed,6.0,19.4,3.0,5.0,11.0,5.0,7.0,4.0,5.0,4.0,6.0,4.0,3.0,2.0,3.0,2.0,4.0,0d,9.0,2.0,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3025896
Cotoneaster divaricatus Rehder & E. H. Wilson,Rosaceae,spärroxbär,222991.0,Resident,Not Red-listed,5.0,19.8,3.0,5.0,10.0,4.0,6.0,4.0,5.0,3.0,6.0,4.0,2.0,2.0,3.0,2.0,4.0,0d,7.0,2.0,4,,Bird,0.0,C3,AM,0.0,0.0,,0,2,1,0,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3026334
Cotoneaster hjelmqvistii Flinck & B. Hylmö,Rosaceae,stort lingonoxbär,222992.0,Non-resident,Not Red-listed,,,3.0,5.0,10.0,5.0,7.0,4.0,6.0,2.0,6.0,4.0,3.0,2.0,3.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3026092
Cotoneaster horizontalis Decne.,Rosaceae,lingonoxbär,222993.0,Resident,Not Red-listed,6.0,19.4,4.0,5.0,10.0,3.0,5.0,3.0,6.0,2.0,6.0,4.0,2.0,2.0,3.0,2.0,4.0,0d,8.0,1.0,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3025617
Cotoneaster integerrimus,Rosaceae,rött oxbär,223005.0,Resident,Not Red-listed,0.0,0,4.0,5.0,3.0,8.0,12.0,5.0,5.0,2.0,6.0,3.0,1.0,2.0,3.0,2.0,4.0,0d,,,4,1.0,Bird,0.0,C3,AM,0.0,0.0,,0,3,3,0,0,1.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3025576
Cotoneaster kullensis B. Hylmö,Rosaceae,skånskt oxbär,1874.0,Resident,VU,0.0,0,3.0,5.0,13.0,7.0,7.0,3.0,5.0,2.0,6.0,2.0,1.0,2.0,3.0,2.0,4.0,0d,8.0,1.0,4,,Bird,0.0,C3,AM,0.0,0.0,,0,10,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026315
Cotoneaster laetevirens (Rehder & E. H. Wilson) Klotz,Rosaceae,ljusbladigt oxbär,222997.0,Resident,Not Red-listed,6.0,19.4,3.0,5.0,11.0,7.0,8.0,7.0,4.0,4.0,6.0,5.0,3.0,2.0,2.0,2.0,4.0,0d,7.0,2.0,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3026168
Cotoneaster latifolius J. Fryer & B. Hylmö,Rosaceae,bredoxbär,264471.0,Resident,Not Red-listed,6.0,19.4,3.0,5.0,,,,,6.0,2.0,6.0,4.0,3.0,2.0,2.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,10,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026234
Cotoneaster lucidus Schltdl.,Rosaceae,häckoxbär,222998.0,Resident,Not Red-listed,5.0,15.7,3.0,5.0,8.0,6.0,9.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,0d,7.0,2.0,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,3025769
Cotoneaster moupinensis Franch.,Rosaceae,moupinoxbär,222999.0,Non-resident,Not Red-listed,,,3.0,5.0,10.0,5.0,7.0,4.0,5.0,3.0,6.0,4.0,3.0,2.0,2.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,3025731
Cotoneaster multiflorus Bunge,Rosaceae,flockoxbär,223000.0,Resident,Not Red-listed,6.0,15.8,4.0,5.0,10.0,6.0,8.0,6.0,4.0,3.0,6.0,5.0,3.0,2.0,2.0,2.0,4.0,0d,7.0,2.0,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,3025939
Cotoneaster nanshan M. Vilm. ex Mottet,Rosaceae,klippoxbär,223001.0,Non-resident,Not Red-listed,,,3.0,5.0,12.0,5.0,6.0,8.0,6.0,2.0,6.0,4.0,3.0,2.0,3.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3025935
Cotoneaster niger (Fr.) Fr.,Rosaceae,svartoxbär,223003.0,Resident,Not Red-listed,0.0,0,3.0,5.0,11.0,6.0,8.0,7.0,5.0,2.0,6.0,3.0,1.0,2.0,3.0,2.0,4.0,0d,7.0,2.0,4,,Bird,0.0,C3,AM,0.0,0.0,,0,2,2,0,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3025673
Cotoneaster perpusillus Flinck & B. Hylmö,Rosaceae,småbladigt lingonoxbär,6002800.0,Non-resident,Not Red-listed,,,3.0,5.0,,,,8.0,6.0,2.0,7.0,4.0,2.0,2.0,3.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7714764
Cotoneaster przewalskii Pojark.,Rosaceae,przewalskioxbär,223004.0,Resident,Not Red-listed,6.0,17.6,3.0,5.0,11.0,6.0,7.0,7.0,4.0,3.0,6.0,5.0,3.0,2.0,2.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3026286
Cotoneaster pyrenaicus Gand.,Rosaceae,tyskt oxbär,222995.0,Resident,Not Red-listed,6.0,13.6,3.0,5.0,9.0,3.0,6.0,6.0,5.0,2.0,7.0,3.0,2.0,2.0,3.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,3.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,7501732
Cotoneaster salicifolius Franch.,Rosaceae,videoxbär,235046.0,Non-resident,Not Red-listed,,,4.0,5.0,12.0,3.0,4.0,,5.0,3.0,7.0,3.0,2.0,2.0,2.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3026074
Cotoneaster simonsii  T. Moore,Rosaceae,indiskt oxbär,265368.0,Non-resident,Not Red-listed,,,3.0,5.0,12.0,3.0,4.0,,5.0,3.0,7.0,3.0,2.0,2.0,2.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9406329
Cotoneaster tomentellus Pojark.,Rosaceae,stäppoxbär,223006.0,Non-resident,Not Red-listed,,,3.0,5.0,11.0,6.0,7.0,8.0,6.0,2.0,7.0,3.0,2.0,2.0,3.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,10,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026290
Cotoneaster tomentosus (Aiton) Lindl.,Rosaceae,ulloxbär,223007.0,Resident,Not Red-listed,6.0,8.8,,5.0,11.0,3.0,5.0,4.0,6.0,,7.0,3.0,2.0,2.0,3.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,7916436
Cotoneaster veitchii (Rehder & E. H. Wilson) G. Klotz,Rosaceae,veitchoxbär,223008.0,Non-resident,Not Red-listed,,,3.0,5.0,,,,,6.0,2.0,7.0,3.0,2.0,2.0,2.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,3,4,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025897
Cotoneaster villosulus (Rehder & E. H. Wilson) Flinck & B. Hylmö,Rosaceae,spetsoxbär,235036.0,Resident,Not Red-listed,6.0,15.8,3.0,5.0,,,,,5.0,3.0,,3.0,3.0,2.0,3.0,2.0,4.0,0d,,,4,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3025564
Cotula coronopifolia L.,Asteraceae,kotula,223009.0,Resident,Not Red-listed,4.0,21.2,1.0,4.0,10.0,1.0,3.0,4.0,7.0,9.0,8.0,7.0,5.0,4.0,5.0,,1.0,0c,12.0,5.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3112110
Crambe maritima L.,Brassicaceae,strandkål,220482.0,Resident,Not Red-listed,0.0,0,2.0,4.0,11.0,5.0,7.0,4.0,7.0,5.0,7.0,8.0,5.0,4.0,1.0,6.0,4.0,1,8.0,1.0,2,,Water,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5373533
Crassula aquatica (L.) Schönland,Crassulaceae,fyrling,1875.0,Resident,Not Red-listed,0.0,0,1.0,1.0,8.0,6.0,9.0,6.0,7.0,10.0,6.0,2.0,3.0,3.0,6.0,8.0,1.0,0c,10.0,3.0,2,3.0,Water,0.0,CAM,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7565449
Crassula helmsii (Kirk) Cockayne,Crassulaceae,sydfyrling,265281.0,Non-resident,Not Red-listed,,,1.0,1.0,13.0,2.0,3.0,2.0,7.0,10.0,,,3.0,2.0,,,,0c,,,,,Water,0.0,CAM,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5362054
Crataegus × macrocarpa Hegetschw.,Rosaceae,rundhagtorn × flikhagtorn,264472.0,Resident,Not Red-listed,0.0,0,7.0,6.0,10.0,3.0,5.0,4.0,5.0,5.0,6.0,6.0,3.0,1.0,4.0,2.0,4.0,1,7.0,2.0,,1.0,Bird,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3013688
Crataegus × media Bechst.,Rosaceae,hybridhagtorn,224948.0,Resident,Not Red-listed,0.0,0,7.0,6.0,10.0,3.0,5.0,4.0,5.0,5.0,6.0,6.0,3.0,1.0,4.0,2.0,4.0,1,7.0,2.0,,1.0,Bird,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3013800
Crataegus × subsphaerica Gand.,Rosaceae,trubbhagtorn × flikhagtorn,264473.0,Resident,Not Red-listed,0.0,0,7.0,6.0,10.0,3.0,5.0,4.0,5.0,5.0,6.0,6.0,3.0,1.0,4.0,2.0,4.0,1,7.0,2.0,,1.0,Bird,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3853236
Crataegus flabellata (Spach) K. Koch,Rosaceae,kanadahagtorn,223010.0,Non-resident,Not Red-listed,,,6.0,6.0,9.0,3.0,6.0,7.0,5.0,3.0,6.0,6.0,3.0,1.0,4.0,2.0,4.0,1,,,,,Bird,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,2,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3014366
Crataegus laevigata (Poir.) DC.,Rosaceae,rundhagtorn,223011.0,Resident,Not Red-listed,0.0,0,7.0,6.0,11.0,3.0,5.0,3.0,4.0,5.0,6.0,6.0,3.0,1.0,4.0,2.0,4.0,1,7.0,2.0,,1.0,Bird,0.0,C3,AM/EM,0.0,0.0,,0,0,1,0,0,0.0,0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,8252683
Crataegus monogyna Jacq.,Rosaceae,trubbhagtorn,223012.0,Resident,Not Red-listed,0.0,0,7.0,6.0,10.0,2.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,1.0,4.0,2.0,4.0,1,7.0,2.0,,1.0,Bird,0.0,C3,AM/EM,0.0,0.0,,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9220780
Crataegus rhipidophylla Gand.,Rosaceae,flikhagtorn,223014.0,Resident,Not Red-listed,0.0,0,7.0,6.0,10.0,4.0,6.0,4.0,5.0,5.0,6.0,6.0,3.0,1.0,4.0,2.0,4.0,1,7.0,2.0,,1.0,Bird,0.0,C3,AM/EM,0.0,0.0,,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,9047268
Crataegus submollis Sarg.,Rosaceae,trädhagtorn,223016.0,Non-resident,Not Red-listed,,,6.0,6.0,11.0,5.0,7.0,7.0,6.0,3.0,6.0,6.0,3.0,1.0,4.0,2.0,4.0,1,,,,,Bird,0.0,C3,AM/EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3015560
Crepis biennis L.,Asteraceae,skånefibbla,223017.0,Resident,Not Red-listed,1.0,7,4.0,5.0,12.0,3.0,4.0,6.0,7.0,4.0,7.0,6.0,4.0,2.0,2.0,7.0,2.0,1,8.0,1.0,1,1.0,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5403531
Crepis capillaris (L.) Wallr.,Asteraceae,grönfibbla,220099.0,Resident,Not Red-listed,3.0,10.3,4.0,4.0,11.0,3.0,5.0,5.0,6.0,3.0,5.0,6.0,5.0,2.0,3.0,9.0,1.0,1,8.0,1.0,1,2.0,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5403304
Crepis paludosa (L.) Moench,Asteraceae,kärrfibbla,220102.0,Resident,Not Red-listed,0.0,0,4.0,5.0,4.0,5.0,10.0,4.0,4.0,7.0,6.0,7.0,4.0,1.0,3.0,2.0,4.0,1,8.0,1.0,,1.0,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,1,0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,5403296
Crepis praemorsa (L.) Walther,Asteraceae,klasefibbla,220103.0,Resident,NT,0.0,0,3.0,5.0,10.0,6.0,8.0,6.0,5.0,6.0,7.0,3.0,2.0,2.0,7.0,4.0,4.0,1,8.0,1.0,1,1.0,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8277403
Crepis sibirica L.,Asteraceae,sibirisk fibbla,220106.0,Resident,Not Red-listed,3.0,3.8,3.0,5.0,10.0,5.0,7.0,9.0,,,,,3.0,1.0,,,,1,,,,,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5403660
Crepis tectorum L.,Asteraceae,klofibbla,220107.0,Resident,NT,0.0,0,4.0,4.0,5.0,3.0,8.0,6.0,6.0,2.0,6.0,4.0,3.0,2.0,3.0,8.0,2.0,1,8.0,1.0,1,1.0,AirP,0.0,C3,AM,0.0,0.0,,0,2,2,0,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5403508
Crocus × hybridus Petrovic,Iridaceae,hybridbägarkrokus,264311.0,Resident,Not Red-listed,6.0,7.9,1.0,4.0,,,,,6.0,1.0,7.0,3.0,2.0,1.0,4.0,,4.0,2ab,2.0,7.0,,,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747907
Crocus × stellaris Haw.,Iridaceae,gullkrokus,219778.0,Non-resident,Not Red-listed,,,1.0,4.0,10.0,5.0,7.0,4.0,6.0,2.0,7.0,4.0,2.0,1.0,4.0,,4.0,0a,3.0,6.0,,,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3586380
Crocus biflorus Mill.,Iridaceae,blå bägarkrokus,220111.0,Resident,Not Red-listed,6.0,7.9,1.0,4.0,11.0,3.0,5.0,8.0,6.0,2.0,7.0,3.0,2.0,1.0,4.0,,4.0,2ab,2.0,7.0,,,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747340
Crocus chrysanthus (Herb.) Herb.,Iridaceae,bägarkrokus,219779.0,Resident,Not Red-listed,6.0,7.9,1.0,4.0,10.0,3.0,5.0,4.0,6.0,1.0,7.0,3.0,2.0,1.0,4.0,,4.0,2ab,2.0,7.0,,,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747489
Crocus sieberi J. Gay,Iridaceae,grekisk krokus,219782.0,Non-resident,Not Red-listed,,,1.0,4.0,10.0,3.0,5.0,4.0,6.0,3.0,7.0,3.0,2.0,1.0,4.0,,4.0,2ab,2.0,7.0,,,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747530
Crocus speciosus M. Bieb.,Iridaceae,höstkrokus,219783.0,Resident,Not Red-listed,5.0,9.6,1.0,4.0,13.0,4.0,5.0,7.0,5.0,3.0,7.0,5.0,3.0,1.0,4.0,,4.0,2ab,15.0,8.0,,,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2747718
Crocus tommasinianus Herb.,Iridaceae,snökrokus,219784.0,Resident,Not Red-listed,6.0,11.3,1.0,4.0,11.0,9.0,7.0,,5.0,3.0,6.0,5.0,3.0,1.0,4.0,4.0,4.0,2ab,2.0,7.0,,,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2747564
Crocus vernus (L.) Hill,Iridaceae,vårkrokus,219785.0,Resident,Not Red-listed,3.0,9,1.0,4.0,12.0,9.0,7.0,,6.0,4.0,6.0,5.0,3.0,1.0,4.0,3.0,4.0,2ab,3.0,6.0,,,Myr,0.0,C3,AM,0.0,0.0,,0,0,1,0,0,0.0,0,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2747567
Cruciata glabra (L.) Ehrend.,Rubiaceae,kal korsmåra,219786.0,Resident,Not Red-listed,6.0,13.6,2.0,3.0,12.0,3.0,4.0,5.0,5.0,4.0,7.0,6.0,3.0,1.0,,,4.0,1,,,,1.0,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7428658
Cryptogramma crispa (L.) R. Br. ex Hook.,Pteridaceae,krusbräken,221514.0,Resident,Not Red-listed,0.0,0,1.0,1.0,2.0,8.0,13.0,3.0,7.0,3.0,3.0,3.0,3.0,1.0,4.0,,4.0,0b,,,,,AirD,0.0,C3,,0.0,0.0,,10,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8386948
Cuscuta epilinum Weihe,Convolvulaceae,linsnärja,489.0,Extinct,RE,1.0,4,1.0,3.0,,,,,7.0,,,,3.0,1.0,1.0,9.0,1.0,0c,,,,,Passive,0.0,C3,None,0.0,2.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2927530
Cuscuta epithymum (L.) L.,Convolvulaceae,ljungsnärja,490.0,Resident,VU,0.0,0,1.0,3.0,10.0,1.0,3.0,6.0,6.0,2.0,7.0,2.0,2.0,2.0,6.0,,1.0,0c,9.0,2.0,,3.0,Passive,0.0,C3,None,0.0,2.0,,0,0,0,0,0,10.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2927518
Cuscuta europaea L.,Convolvulaceae,nässelsnärja,491.0,Resident,Not Red-listed,0.0,0,1.0,3.0,9.0,3.0,6.0,6.0,6.0,6.0,6.0,,3.0,2.0,3.0,,1.0,0c,10.0,3.0,3,3.0,Passive,0.0,C3,None,0.0,2.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,2,0,0,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2927493
"Cymbalaria muralis G. Gaertn., B. Mey. & Scherb.",Plantaginaceae,murreva,223018.0,Resident,Not Red-listed,3.0,11.4,3.0,4.0,11.0,2.0,4.0,3.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,,4.0,1a,6.0,3.0,,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,4,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8200663
Cynoglossum officinale L.,Boraginaceae,hundtunga,221518.0,Resident,Not Red-listed,1.0,4,2.0,5.0,10.0,3.0,5.0,5.0,6.0,2.0,7.0,7.0,5.0,3.0,4.0,7.0,2.0,1,7.0,2.0,3,3.0,Adh,0.0,C3,AM,0.0,0.0,,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925815
