Scientific name,Family,Svenskt namn,Dyntaxa ID number,Establishment,Red-listed,Time of immigration,Index of invasive concern,Biodiversity relevance,Nectar production,Heat requirement,Cold requirement,Temp. optimum,Continentality,Light,Moisture,Soil reaction (pH),Nitrogen (N),Phosphorus (P),Salinity,Grazing/mowing,Soil disturbance,Longevity,Pollinator dependence,Phenology,Extreme phenology,Seed dormancy,Seed bank,Seed disperser,Nitrogen fixation,Photosynthetic pathway,Mycorrhiza,Carnivory,Parasitism,Unnamed: 34,1 Siliceous rock,2 Ultrabasic rock,3 Calcareous rock,4 Dry heath,5. Dry meadow,6 Steppic meadow,7 Sand steppe,8 Moist heath,9 Moist meadow,10 Moist calcareous meadow,11 Raised bog,12 Poor/acidic fen,13 Intermediate-rich fen,14 Rich/calcareous fen,15 Tall herb/sedge/reed meadow,16 Oligotrophic water & shores,17 Mesotrophic water & shores,18 Eutrophic water & shores,19 sandy/stony/rocky sea shores,20 Sea shore meadows,21 Base-poor wasteland,22 Base-rich wasteland,23. Arable land,24 Gravelly ground,25 Ruderal,"26 Hedgerows, thickets, wood-margins and groves",27 Heath-type deciduous forest,28 Intermediate deciduous forest,29 Herb-rich deciduous forest,30 Alnus glutinosa swamp,31 Fraxinus/Ulmus/Alnus incana swamp,32 Pinus/Betula swamp,33 Picea swamp,34 Heath-type coniferous forest,35 Vaccinium-type coniferous forest,36 Herb-rich coniferous forest,37 Cacareous conifer forest,38 Subalpine Betula forest
Avena fatua L.,Poaceae,flyghavre,222230.0,Resident,Not Red-listed,1.0,4,4.0,1.0,10.0,2.0,4.0,6.0,6.0,3.0,7.0,7.0,5.0,1.0,1.0,9.0,1.0,0c,9.0,2.0,1,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Avenella flexuosa (L.) Drejer,Poaceae,kruståtel,222416.0,Resident,Not Red-listed,0.0,0,4.0,1.0,2.0,3.0,9.0,5.0,4.0,4.0,3.0,5.0,2.0,1.0,4.0,2.0,4.0,0b,8.0,1.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,1,0,0,1,0,0.0,0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,1
Avenula pratensis (L.) Dumort.,Poaceae,ängshavre,220178.0,Resident,Not Red-listed,0.0,0,3.0,1.0,9.0,3.0,6.0,5.0,5.0,3.0,6.0,3.0,2.0,1.0,4.0,2.0,4.0,0b,8.0,1.0,,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,1,1,0,3,4.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Avenula pubescens (Huds.) Dumort.,Poaceae,luddhavre,222496.0,Resident,Not Red-listed,0.0,0,4.0,1.0,6.0,4.0,8.0,3.0,5.0,4.0,6.0,4.0,2.0,1.0,5.0,2.0,4.0,0b,7.0,2.0,,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,4,2.0,0,0.0,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baldellia ranunculoides (L.) Parl.,Alismataceae,flocksvalting,139.0,Resident,Not Red-listed,0.0,0,1.0,,13.0,2.0,3.0,4.0,7.0,11.0,8.0,2.0,1.0,1.0,4.0,6.0,4.0,1,9.0,2.0,3,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldellia repens (Lam.) Ooststr. ex Lawalrée,Alismataceae,revsvalting,140.0,Resident,VU,0.0,0,1.0,,11.0,3.0,5.0,3.0,7.0,11.0,7.0,5.0,2.0,1.0,4.0,,4.0,1,,,,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballota nigra L.,Lamiaceae,bosyska,219560.0,Resident,Not Red-listed,1.0,4,3.0,6.0,12.0,2.0,3.0,6.0,5.0,2.0,7.0,8.0,5.0,2.0,3.0,5.0,4.0,1a,11.0,4.0,,4.0,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Barbarea intermedia Boreau,Brassicaceae,mellangyllen,221602.0,Resident,Not Red-listed,4.0,11.4,1.0,4.0,12.0,2.0,3.0,4.0,5.0,4.0,6.0,7.0,5.0,1.0,3.0,,2.0,1,6.0,3.0,3,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbarea stricta Andrz.,Brassicaceae,strandgyllen,220431.0,Resident,Not Red-listed,0.0,0,2.0,4.0,4.0,6.0,10.0,5.0,7.0,8.0,6.0,8.0,5.0,2.0,3.0,8.0,2.0,1,7.0,2.0,2,2.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbarea vulgaris R. Br.,Brassicaceae,sommargyllen,220433.0,Resident,Not Red-listed,0.0,0,3.0,4.0,4.0,2.0,7.0,6.0,6.0,3.0,6.0,7.0,5.0,2.0,3.0,7.0,3.0,1,5.0,4.0,2,3.0,Passive,0.0,C3,None,0.0,0.0,,0,1,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartsia alpina L.,Orobanchaceae,svarthö,220434.0,Resident,Not Red-listed,0.0,0,2.0,5.0,2.0,7.0,12.0,,6.0,7.0,7.0,4.0,2.0,1.0,3.0,3.0,4.0,1a,,,,1.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,2,0,0.0,0.0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beckmannia syzigachne (Steud.) Fernald,Poaceae,radgräs,222235.0,Resident,Not Red-listed,5.0,14.7,1.0,1.0,7.0,4.0,8.0,6.0,6.0,9.0,6.0,6.0,3.0,1.0,5.0,7.0,,0b,11.0,4.0,2,,Passive,0.0,,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellis perennis L.,Asteraceae,tusensköna,220997.0,Resident,Not Red-listed,0.0,0,3.0,4.0,7.0,3.0,7.0,5.0,6.0,5.0,7.0,5.0,3.0,2.0,8.0,4.0,4.0,0c,3.0,6.0,1,3.0,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0,1,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Berberis thunbergii DC.,Berberidaceae,häckberberis,222794.0,Resident,Not Red-listed,6.0,19.4,3.0,5.0,10.0,4.0,6.0,4.0,4.0,5.0,4.0,6.0,4.0,1.0,4.0,2.0,4.0,1,6.0,3.0,4,1.0,Bird,0.0,C3,AM,0.0,0.0,,0,1,0,0,0,0.0,0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0
Berberis vulgaris L.,Berberidaceae,berberis,222795.0,Resident,Not Red-listed,1.0,10.3,4.0,5.0,10.0,3.0,5.0,5.0,5.0,3.0,7.0,3.0,1.0,1.0,4.0,2.0,4.0,1,6.0,3.0,3,1.0,Bird,0.0,C3,AM,0.0,0.0,,0,2,2,0,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0
Bergenia cordifolia (Haw.) Sternb.,Saxifragaceae,hjärtbergenia,222796.0,Non-resident,Not Red-listed,,,1.0,,11.0,5.0,7.0,8.0,4.0,3.0,,5.0,3.0,1.0,1.0,,4.0,,5.0,4.0,,,Passive,0.0,,,0.0,0.0,,0,7,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergenia crassifolia (L.) Fritsch,Saxifragaceae,bergenia,223331.0,Non-resident,Not Red-listed,,,1.0,,11.0,4.0,6.0,8.0,4.0,3.0,,5.0,3.0,1.0,1.0,,4.0,,,,,,Passive,0.0,,,0.0,0.0,,0,7,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Berteroa incana (L.) DC.,Brassicaceae,sandvita,223332.0,Resident,Not Red-listed,1.0,6,3.0,4.0,7.0,4.0,8.0,6.0,7.0,3.0,6.0,6.0,5.0,2.0,4.0,7.0,3.0,1,9.0,2.0,,2.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Berula erecta (Huds.) Coville,Apiaceae,bäckmärke,220435.0,Resident,Not Red-listed,0.0,0,3.0,5.0,11.0,3.0,5.0,5.0,4.0,11.0,7.0,6.0,3.0,2.0,3.0,2.0,4.0,1,10.0,3.0,,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta vulgaris L.,Amaranthaceae,beta,220681.0,Resident,Not Red-listed,0.0,0,3.0,2.0,12.0,2.0,3.0,2.0,7.0,5.0,8.0,9.0,5.0,4.0,2.0,7.0,2.0,0b,10.0,3.0,,3.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betonica macrantha K. Koch,Lamiaceae,praktbetonika,221830.0,Non-resident,Not Red-listed,,,1.0,6.0,6.0,7.0,10.0,7.0,5.0,4.0,6.0,5.0,3.0,1.0,2.0,3.0,4.0,,7.0,2.0,,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betonica officinalis L.,Lamiaceae,humlesuga,1524.0,Resident,EN,0.0,0,4.0,6.0,12.0,3.0,4.0,5.0,5.0,5.0,6.0,3.0,3.0,1.0,5.0,5.0,4.0,0c,10.0,3.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Betula nana L.,Betulaceae,dvärgbjörk,220682.0,Resident,Not Red-listed,0.0,0,7.0,1.0,3.0,9.0,13.0,5.0,5.0,7.0,3.0,2.0,1.0,1.0,3.0,7.0,4.0,0b,5.0,4.0,4,2.0,AirW,0.0,C3,EM,0.0,0.0,,0,0,0,0,0,0.0,0,2.0,1,0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Betula pendula Roth,Betulaceae,vårtbjörk,221394.0,Resident,Not Red-listed,0.0,0,8.0,1.0,6.0,4.0,8.0,7.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,0b,5.0,4.0,2,4.0,AirW,0.0,C3,EM,0.0,0.0,,1,1,0,1,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
Betula pubescens Ehrh.,Betulaceae,glasbjörk,221395.0,Resident,Not Red-listed,0.0,0,8.0,1.0,3.0,5.0,11.0,5.0,5.0,7.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,0b,5.0,4.0,2,3.0,AirW,0.0,C3,EM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,1.0,1.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Bidens cernua L.,Asteraceae,nickskära,219995.0,Resident,Not Red-listed,0.0,0,2.0,4.0,9.0,4.0,7.0,7.0,7.0,9.0,7.0,9.0,5.0,2.0,2.0,8.0,1.0,1,12.0,5.0,4,2.0,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bidens pilosa,Asteraceae,nålskära,219998.0,Resident,Not Red-listed,7.0,?,1.0,4.0,12.0,1.0,2.0,,7.0,,,,,2.0,2.0,8.0,1.0,1,,,,,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
Bidens radiata Thuill.,Asteraceae,grönskära,146.0,Resident,VU,0.0,0,1.0,4.0,8.0,7.0,9.0,8.0,7.0,9.0,6.0,7.0,4.0,2.0,2.0,8.0,1.0,1,10.0,3.0,1,,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bidens tripartita L.,Asteraceae,brunskära,220001.0,Resident,Not Red-listed,0.0,0,2.0,4.0,8.0,3.0,6.0,7.0,5.0,9.0,5.0,7.0,5.0,2.0,2.0,8.0,1.0,1,11.0,4.0,,4.0,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,1,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bistorta officinalis Delarbre,Polygonaceae,stor ormrot,220684.0,Resident,Not Red-listed,1.0,8,3.0,4.0,7.0,4.0,8.0,6.0,4.0,6.0,6.0,6.0,5.0,1.0,2.0,2.0,4.0,1,9.0,2.0,,3.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Bistorta vivipara (L.) Delarbre,Polygonaceae,ormrot,220685.0,Resident,Not Red-listed,0.0,0,1.0,3.0,2.0,10.0,14.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,6.0,3.0,4.0,0a,,,,3.0,Passive,0.0,C3,AM/EM,0.0,0.0,,0,0,0,1,1,0.0,0,2.0,3,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blackstonia perfoliata (L.) Huds.,Gentianaceae,gulört,6024008.0,Resident,Not Red-listed,8.0,7.2,1.0,,13.0,2.0,3.0,3.0,7.0,5.0,8.0,6.0,2.0,1.0,,7.0,2.0,0c,,,,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,3.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blechnum spicant (L.) Roth,Blechnaceae,kambräken,220686.0,Resident,Not Red-listed,0.0,0,1.0,1.0,4.0,3.0,8.0,3.0,4.0,6.0,2.0,4.0,2.0,1.0,3.0,4.0,4.0,0b,10.0,3.0,,,AirD,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,4.0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0
Blitum bonus-henricus (L.) Rchb.,Amaranthaceae,lungrot,220711.0,Resident,VU,0.0,0,4.0,1.0,10.0,4.0,6.0,5.0,5.0,3.0,6.0,8.0,5.0,2.0,4.0,5.0,4.0,0b,7.0,2.0,2,1.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Blitum capitatum L.,Amaranthaceae,smultronmålla,220714.0,Extinct,Not Red-listed,3.0,8.8,1.0,1.0,13.0,4.0,5.0,7.0,7.0,5.0,7.0,8.0,5.0,2.0,2.0,9.0,1.0,0b,,,2,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Blysmus compressus (L.) Panz. ex Link,Cyperaceae,plattsäv,222738.0,Resident,VU,0.0,0,1.0,1.0,10.0,4.0,6.0,6.0,7.0,6.0,8.0,3.0,3.0,3.0,7.0,4.0,4.0,0b,8.0,1.0,,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,4,0.0,0.0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blysmus rufus (Huds.) Link,Cyperaceae,rödsäv,222237.0,Resident,VU,0.0,0,1.0,1.0,9.0,6.0,8.0,5.0,7.0,6.0,8.0,3.0,3.0,4.0,7.0,4.0,4.0,0b,8.0,1.0,,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolboschoenus maritimus (L.) Palla,Cyperaceae,havssäv,222660.0,Resident,Not Red-listed,0.0,0,3.0,1.0,10.0,2.0,4.0,5.0,7.0,10.0,8.0,7.0,5.0,3.0,4.0,2.0,4.0,0b,10.0,3.0,,2.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borago officinalis L.,Boraginaceae,gurkört,222238.0,Resident,Not Red-listed,4.0,5,3.0,6.0,11.0,1.0,3.0,6.0,5.0,5.0,6.0,7.0,4.0,2.0,1.0,9.0,1.0,1a,10.0,3.0,2,1.0,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Borkhausenia intermedia,Rosaceae,oxel,223213.0,Resident,Not Red-listed,0.0,0,5.0,5.0,10.0,7.0,8.0,4.0,5.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,4.0,2,7.0,2.0,4,1.0,Bird,0.0,C3,AM/EM,0.0,0.0,,0,1,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
Botrychium boreale Milde,Ophioglossaceae,nordlåsbräken,164.0,Resident,NT,0.0,0,1.0,1.0,3.0,8.0,12.0,6.0,6.0,3.0,8.0,3.0,1.0,1.0,5.0,,4.0,0b,,,,,AirD,0.0,C3,AM,0.0,0.0,,0,3,3,0,4,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium lanceolatum (S. G. Gmel.) Ångstr.,Ophioglossaceae,topplåsbräken,165.0,Resident,VU,0.0,0,1.0,1.0,3.0,8.0,12.0,6.0,7.0,3.0,7.0,2.0,2.0,1.0,7.0,,4.0,0b,,,,,AirD,0.0,C3,AM,0.0,0.0,,0,4,0,0,6,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium lunaria (L.) Sw.,Ophioglossaceae,månlåsbräken,222112.0,Resident,NT,0.0,0,1.0,1.0,3.0,4.0,10.0,5.0,5.0,3.0,6.0,3.0,3.0,1.0,5.0,3.0,4.0,0b,8.0,1.0,,,AirD,0.0,C3,AM,0.0,0.0,,0,1,2,0,2,3.0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Botrychium matricariifolium (Retz.) A. Braun ex Koch,Ophioglossaceae,rutlåsbräken,166.0,Resident,VU,0.0,0,1.0,1.0,8.0,5.0,8.0,6.0,5.0,2.0,3.0,2.0,3.0,1.0,6.0,4.0,4.0,0b,6.0,3.0,,,AirD,0.0,C3,AM,0.0,0.0,,0,0,0,4,6,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium multifidum (S. G. Gmel.) Rupr.,Ophioglossaceae,höstlåsbräken,167.0,Resident,NT,0.0,0,1.0,1.0,4.0,7.0,11.0,7.0,6.0,4.0,5.0,2.0,3.0,1.0,5.0,3.0,4.0,0b,,,,,AirD,0.0,C3,AM,0.0,0.0,,0,0,0,0,10,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium simplex E. Hitchc.,Ophioglossaceae,dvärglåsbräken,168.0,Resident,EN,0.0,0,1.0,1.0,4.0,4.0,9.0,5.0,6.0,5.0,6.0,1.0,3.0,1.0,5.0,4.0,4.0,0b,,,,,AirD,0.0,C3,AM,0.0,0.0,,0,5,0,0,0,0.0,0,0.0,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium tenebrosum,Ophioglossaceae,pysslinglåsbräken,220561.0,Resident,EN,0.0,0,,1.0,9.0,11.0,,8.0,,,,,,3.0,5.0,4.0,4.0,0b,,,,,AirD,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium virginianum (L.) Sw.,Ophioglossaceae,stor låsbräken,169.0,Resident,VU,0.0,0,1.0,1.0,7.0,9.0,11.0,8.0,4.0,6.0,7.0,4.0,2.0,1.0,5.0,,4.0,0b,,,,,AirD,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
Boykinia richardsonii (Hook.) Rothr.,Saxifragaceae,grizzlybräcka,219638.0,Non-resident,Not Red-listed,,,1.0,,2.0,19.0,18.0,,7.0,,,,2.0,1.0,,,4.0,,,,,,Passive,0.0,C3,,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,10,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachypodium pinnatum (L.) P. Beauv.,Poaceae,backskafting,222239.0,Resident,Not Red-listed,0.0,0,4.0,1.0,10.0,3.0,5.0,6.0,4.0,3.0,8.0,3.0,2.0,1.0,3.0,2.0,4.0,0b,10.0,3.0,,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,2,0,0,1.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0
Brachypodium sylvaticum (Huds.) P. Beauv.,Poaceae,lundskafting,222240.0,Resident,Not Red-listed,0.0,0,5.0,1.0,11.0,2.0,4.0,4.0,3.0,5.0,7.0,4.0,3.0,1.0,2.0,2.0,4.0,0b,11.0,4.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,3,1,0
Brassica juncea (L.) Czern.,Brassicaceae,sareptasenap,220439.0,Resident,Not Red-listed,5.0,6.5,3.0,5.0,12.0,1.0,2.0,5.0,7.0,4.0,7.0,8.0,5.0,2.0,3.0,9.0,1.0,1,,,,2.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Brassica napus L.,Brassicaceae,kålrot/raps,220440.0,Non-resident,Not Red-listed,,,4.0,5.0,13.0,2.0,3.0,5.0,7.0,4.0,6.0,7.0,5.0,2.0,1.0,9.0,1.0,1,,,1,4.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Brassica nigra (L.) W. D. J. Koch,Brassicaceae,svartsenap,220441.0,Resident,Not Red-listed,1.0,6.8,4.0,4.0,12.0,2.0,3.0,4.0,7.0,4.0,8.0,8.0,5.0,2.0,2.0,7.0,1.0,1,8.0,1.0,1,4.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Brassica rapa L.,Brassicaceae,rova/rybs/åkerkål,220443.0,Resident,Not Red-listed,4.0,5.8,4.0,4.0,7.0,2.0,6.0,5.0,7.0,5.0,6.0,7.0,5.0,2.0,1.0,8.0,1.0,1,8.0,1.0,1,4.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Braya linearis Rouy,Brassicaceae,fjällkrassing,172.0,Resident,NT,0.0,0,1.0,3.0,3.0,16.0,16.0,,7.0,4.0,8.0,,4.0,1.0,,7.0,4.0,,,,,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Briza media L.,Poaceae,darrgräs,222242.0,Resident,Not Red-listed,0.0,0,3.0,1.0,8.0,3.0,6.0,4.0,7.0,4.0,6.0,4.0,2.0,1.0,7.0,3.0,4.0,0b,8.0,1.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,2,0,0,1.0,0,0.0,2,4,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
